Page,Standard Code
32,"CCSS.L.8.6, CCSS.RL.8.2"
33,"CCSS.RL.8.2, CCSS.SL.8.1"
34,"CCSS.L.8.6, CCSS.RL.8.2"
35,"CCSS.L.8.6, CCSS.SL.8.1"
36,"CCSS.L.8.5, CCSS.L.8.6"
37,"CCSS.L.8.6, CCSS.RI.8.4"
38,"CCSS.RL.8.2, CCSS.SL.8.1"
39,"CCSS.RL.8.2, CCSS.SL.8.1"
40,"CCSS.RL.8.2, CCSS.SL.8.1"
41,"CCSS.L.8.1, CCSS.L.8.6"
42,"CCSS.RL.8.3, CCSS.RL.8.4"
43,"CCSS.RL.8.2, CCSS.SL.8.1"
